T,tsne-2d-one,tsne-2d-two
0.1,-172.1558,23.259918
0.1,114.746155,-21.189346
0.1,130.71408,-38.64876
0.1,-118.26769,-61.839695
0.1,-99.58611,-87.5521
0.1,131.25076,-26.930218
0.1,125.81903,-29.30663
0.1,-108.36545,28.300425
0.1,88.0977,-52.160076
0.1,116.164246,-9.475961
0.1,116.908264,-47.9663
0.1,110.23733,-10.094097
0.1,-108.66815,-131.39122
0.1,57.747223,50.516113
0.1,-178.20241,29.702263
0.1,-110.174614,-96.7288
0.1,39.568558,53.80316
0.1,139.92212,-20.878065
0.1,64.47411,41.046104
0.1,58.899338,66.07296
0.1,66.04878,77.26604
0.1,17.36361,42.246758
0.1,119.648506,-19.150698
0.1,56.690174,74.91648
0.1,-140.10933,18.348248
0.1,101.4193,65.980965
0.1,81.447136,-13.624027
0.1,10.103385,31.753408
0.1,141.97281,-38.89552
0.1,99.30205,-38.089207
0.1,-153.0596,-64.98307
0.1,49.751472,14.869933
0.1,115.04726,-33.776073
0.1,-139.00357,-24.971546
0.1,44.347775,57.282097
0.1,96.857956,-12.687663
0.1,125.20253,-4.259399
0.1,134.66821,-30.510496
0.1,-101.03461,-40.802917
0.1,-106.40338,-47.53807
0.1,74.50254,83.89313
0.1,-118.75982,-103.09002
0.1,-132.44853,-113.98408
0.1,119.004135,-24.468096
0.1,-130.70747,30.873804
0.1,-58.91231,-132.58041
0.1,108.904945,-18.836533
0.1,76.496796,-21.775845
0.1,123.40828,-9.284924
0.1,-169.39482,40.65874
0.1,68.663315,45.455498
0.1,107.15267,-68.716675
0.1,104.65176,3.7823908
0.1,76.60349,33.996468
0.1,122.00323,-67.671364
0.1,160.62674,-20.78482
0.1,146.75926,-55.356773
0.1,-179.02011,15.199136
0.1,36.409466,86.08025
0.1,125.12523,-23.277082
0.1,-69.38994,-85.27548
0.1,-101.91523,-133.35657
0.1,67.065575,86.76452
0.1,107.20138,-24.848621
0.1,92.701935,72.19889
0.1,-166.58005,36.236355
0.1,42.80582,73.07934
0.1,46.222767,68.99477
0.1,-153.02307,55.6335
0.1,113.975,-15.037777
0.1,-139.38162,-6.812392
0.1,-150.66032,63.599537
0.1,57.747223,50.516113
0.1,44.347775,57.282097
0.1,42.822426,63.27001
0.1,75.19378,36.572647
0.1,33.666042,54.333042
0.1,35.902687,64.10938
0.1,144.82751,-65.72603
0.1,109.44414,5.9172645
0.1,102.18387,-74.01867
0.1,-122.00992,-71.45085
0.1,-127.08942,38.302692
0.1,99.4159,-13.613653
0.1,37.122826,45.546787
0.1,43.17443,76.77919
0.1,51.3053,73.22863
0.1,-87.95747,-81.706795
0.1,78.452805,-32.796967
0.1,113.08424,-27.525122
0.1,-136.01599,-1.5212148
0.1,-130.15234,-8.259323
0.1,139.45915,-5.6614213
0.1,99.34042,-8.634043
0.1,109.191986,-33.98755
0.1,104.40326,-1.3099239
0.1,-139.49185,-71.00002
0.1,-153.05925,-64.98338
0.1,125.12523,-23.277082
0.1,132.78496,-33.236946
0.1,43.399048,42.632748
0.1,-69.29597,-127.36869
0.1,62.963757,35.451912
0.1,-121.338,56.66893
0.1,121.01487,-1.6410762
0.1,32.651913,59.276608
0.1,125.81903,-29.30663
0.1,-64.75967,-101.2284
0.1,10.278796,34.81259
0.1,99.91585,-58.665375
0.1,114.4001,11.375016
0.1,49.529182,22.449652
0.1,77.98791,-40.023495
0.1,141.46106,-13.585224
0.1,17.949823,60.55479
0.1,6.2855277,57.981144
0.1,58.899338,66.07296
0.1,44.347775,57.282097
0.1,-102.39724,-3.3206515
0.1,56.177185,55.306248
0.1,125.81903,-29.30663
0.1,132.02025,6.345793
0.1,56.128048,78.52598
0.1,37.122826,45.546787
0.1,125.12523,-23.277082
0.1,-101.91548,-133.35632
0.1,-74.48832,-146.72815
0.1,117.538185,-69.04793
0.1,-115.19992,68.04395
0.1,46.222767,68.99477
0.1,-140.25554,70.03195
0.1,-112.99956,46.829395
0.1,-125.18312,-64.69964
0.1,132.78496,-33.236946
0.1,131.25076,-26.930218
0.1,52.109913,51.53624
0.1,-158.00945,63.665142
0.1,79.03547,56.62684
0.1,56.177185,55.306248
0.1,-138.06226,31.69399
0.1,-125.302155,-43.513443
0.1,76.60349,33.996468
0.1,-187.99364,-50.199512
0.1,59.311676,80.85453
0.1,109.191986,-33.98755
0.1,125.81903,-29.30663
0.1,-155.18639,2.5226216
0.1,107.10928,-50.034504
0.1,50.361816,56.262375
0.1,148.66959,-43.70897
0.1,-157.14792,56.565327
0.1,-158.61517,5.5879517
0.1,-150.50963,23.50592
0.1,42.822426,63.27001
0.1,119.004135,-24.468096
0.1,-121.16272,22.367344
0.1,39.568558,53.80316
0.1,-93.59371,-135.68024
0.1,103.080666,6.184546
0.1,-162.68709,-17.806644
0.1,148.2659,1.1714929
0.1,50.361816,56.262375
0.1,-140.30743,-17.629095
0.1,-122.7133,67.749405
0.1,42.923565,97.47447
0.1,115.82935,-1.3169421
0.1,52.003826,66.97721
0.1,-81.2572,-88.06913
